resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"tcs-res-tcs17-06t","TCS17 06T","/resources/tcs/TCS17-06T.docx",282955,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcsaptitude","tcsaptitude","/resources/tcs/tcsaptitude.pdf",295328,"tcs","Aptitude","",30,50,"medium"
"tcs-res-tcspattern","tcspattern","/resources/tcs/tcspattern.pdf",221493,"tcs","Previous Year Questions","",30,50,"medium"
"tcs-res-tcsplacement-paper-2010","tcsplacement paper 2010","/resources/tcs/tcsplacement-paper-2010.pdf",13574,"tcs","Previous Year Questions","",30,50,"medium"
"general-res-100_aptitude_trick_102pgs_s","100 aptitude trick 102pgs s","/resources/general/100_aptitude_trick_102pgs_s.pdf",2236144,"general","Aptitude","",60,100,"medium"
"general-res-100_c_progms_for_placements_94pgs_","100 c progms for placements 94pgs","/resources/general/100_c_progms_for_placements_94pgs_.pdf",291979,"general","Previous Year Questions","",30,50,"medium"
"general-res-100_python_interview_questions_","100 python interview questions","/resources/general/100_python_interview_questions_.pdf",4047928,"general","DSA","",60,100,"medium"
"general-res-100_c_programs_with_output_","100+ c++ programs with output","/resources/general/100_c_programs_with_output_.pdf",718770,"general","DSA","",30,50,"medium"
"general-res-500_most_asked_apti_ques_in_tcs_wipro_in","500 most asked apti ques in tcs, wipro, infos 105pgs","/resources/general/500_most_asked_apti_ques_in_tcs_wipro_infos_105pgs_.pdf",2548622,"general","Aptitude","",60,100,"medium"
"general-res-5_6127344689734484085","5_6127344689734484085","/resources/general/5_6127344689734484085.docx",20521,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6131909509825691819","5_6131909509825691819","/resources/general/5_6131909509825691819.docx",9026,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6154252552469741805","5_6154252552469741805","/resources/general/5_6154252552469741805.xlsx",12429,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6170409656796577947","5_6170409656796577947","/resources/general/5_6170409656796577947.txt",4802,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6170409656796577949","5_6170409656796577949","/resources/general/5_6170409656796577949.doc",91648,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6170409656796577953","5_6170409656796577953","/resources/general/5_6170409656796577953.txt",5170,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6170409656796577955","5_6170409656796577955","/resources/general/5_6170409656796577955.docx",19046,"general","Previous Year Questions","",30,50,"medium"
"general-res-5_6226539149868925060","5_6226539149868925060","/resources/general/5_6226539149868925060.pdf",695654,"general","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055159642542047333","5_6055159642542047333","/resources/accenture/5_6055159642542047333.pdf",76271,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055159642542047334","5_6055159642542047334","/resources/accenture/5_6055159642542047334.pdf",81581,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055159642542047335","5_6055159642542047335","/resources/accenture/5_6055159642542047335.docx",11588,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793146","5_6055506645834793146","/resources/accenture/5_6055506645834793146.pdf",356555,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793147","5_6055506645834793147","/resources/accenture/5_6055506645834793147.pdf",364572,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793150","5_6055506645834793150","/resources/accenture/5_6055506645834793150.pdf",695654,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793151","5_6055506645834793151","/resources/accenture/5_6055506645834793151.pdf",127868,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793152","5_6055506645834793152","/resources/accenture/5_6055506645834793152.docx",11669,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793153","5_6055506645834793153","/resources/accenture/5_6055506645834793153.pdf",110514,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793154","5_6055506645834793154","/resources/accenture/5_6055506645834793154.docx",21017,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793155","5_6055506645834793155","/resources/accenture/5_6055506645834793155.pdf",79398,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793156","5_6055506645834793156","/resources/accenture/5_6055506645834793156.docx",14259,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793157","5_6055506645834793157","/resources/accenture/5_6055506645834793157.docx",11588,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6055506645834793158","5_6055506645834793158","/resources/accenture/5_6055506645834793158.pdf",83002,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6226494280345583907","5_6226494280345583907","/resources/accenture/5_6226494280345583907.pdf",2355890,"accenture","Previous Year Questions","",60,100,"medium"
